"SUBJECT","Subject","LOCATION","Country","MEASURE","Measure","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,150.2006,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,151.9952,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,166.6293,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,174.7047,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,171.4283,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,157.9574,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,167.1277,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,167.3038,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,165.5865,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,155.2442,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,162.9754,,
"XTIMVA01","Imports in goods (value)","FRA","France","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,151.3967,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,329.8082,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,340.7836,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,351.0573,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,372.598,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,383.4932,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,404.1651,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,399.7999,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,379.6302,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,376.3843,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q1","Q1-2019","USD","US Dollar","9","Billions",,,382.0365,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q2","Q2-2019","USD","US Dollar","9","Billions",,,371.6914,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q3","Q3-2019","USD","US Dollar","9","Billions",,,368.287,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2019-Q4","Q4-2019","USD","US Dollar","9","Billions",,,367.1907,,
"XTEXVA01","Exports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2020-Q1","Q1-2020","USD","US Dollar","9","Billions",,,358.6382,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2016-Q4","Q4-2016","USD","US Dollar","9","Billions",,,265.481,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q1","Q1-2017","USD","US Dollar","9","Billions",,,275.2399,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q2","Q2-2017","USD","US Dollar","9","Billions",,,281.2502,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q3","Q3-2017","USD","US Dollar","9","Billions",,,296.5913,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2017-Q4","Q4-2017","USD","US Dollar","9","Billions",,,309.7872,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q1","Q1-2018","USD","US Dollar","9","Billions",,,327.3611,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q2","Q2-2018","USD","US Dollar","9","Billions",,,323.9586,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q3","Q3-2018","USD","US Dollar","9","Billions",,,317.6084,,
"XTIMVA01","Imports in goods (value)","DEU","Germany","CXML","US-Dollar converted","Q","Quarterly","2018-Q4","Q4-2018","USD","US Dollar","9","Billions",,,314.9782,,
